,,,,,Prämien – Grundversicherung,,,,,,,
,,,,,Primes – Assurance de base,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Erwachsene / Adultes,,,,Franchise / Franchise,,
300,500,1000,1500,2000,2500,Region / Région 1,300,500,1000,1500,2000,2500
606.8,595.1,566,536.8,507.6,478.5,Agrisano,576.5,565.3,537.7,510,482.2,454.6
604.4,592.8,563.6,534.5,505.3,476.1,Aquilana,562.1,551.4,524.2,497.1,470,442.8
616.3,604.7,575.5,546.3,517.2,488,Assura,573.2,562.4,535.3,508.1,481,453.9
586.7,575.1,545.9,516.7,487.6,458.4,Atupri,557.4,546.3,518.6,490.9,463.2,435.5
640.7,629.2,600.2,570.7,541.7,512.7,Avenir,595.9,585.2,558.2,530.8,503.8,476.9
619.9,608.3,579.1,549.9,520.8,491.6,Concordia,585.9,574.9,547.3,519.7,492.2,464.6
633,621.4,592.2,563,533.9,504.7,CSS,588.7,577.9,550.7,523.6,496.5,469.4
648.7,637.2,608.2,578.7,549.7,520.7,Easy Sana,603.3,592.6,565.7,538.2,511.3,484.3
669.4,657.8,628.6,599.4,570.3,541.1,EGK,629.3,618.4,590.9,563.5,536.1,508.7
871,859.3,830.2,801,771.8,742.7,Galenos,810.1,799.2,772.1,745,717.8,690.7
631,619.4,590.2,561,531.9,502.7,Helsana,586.9,576.1,548.9,521.8,494.7,467.6
660.7,651.3,628,604.7,581.3,558,KLuG,640.9,631.8,609.2,586.5,563.9,541.3
645.8,634.2,605,575.8,,517.5,KPT,600.6,589.8,562.7,535.5,,481.3
645.4,633.9,604.9,575.4,546.4,517.4,Mutuel,600.3,589.6,562.6,535.2,508.2,481.2
626,614.4,585.2,556,526.9,497.7,ÖKK,582.2,571.4,544.3,517.1,490.1,462.9
676.8,665.3,636.3,606.8,577.8,548.8,Philos,629.5,618.8,591.8,564.4,537.4,510.4
674.4,662.7,633.6,604.4,575.2,546.1,Rhenusana,627.2,616.4,589.3,562.1,535,507.9
618.7,607,577.9,548.7,519.5,490.4,Sana24,578.3,567.3,540.1,512.8,485.6,458.3
642.6,631,601.8,572.6,543.5,514.3,Sanitas,598.3,587.5,560.3,533.1,506,478.9
662.3,650.8,621.8,592.3,563.3,534.3,Supra,616,605.3,578.3,550.9,523.9,496.9
692.5,680.9,651.7,622.5,593.4,564.2,Swica,644.1,633.2,606.1,579,551.9,524.7
680.2,673.5,639.4,610.2,581,551.9,Visana,635.7,629.5,597.6,570.3,543,515.8
596,585.3,560.3,530.5,500.7,470.9,Vita Surselva,592.4,581.8,556.9,527.3,497.7,468
672.2,660.5,631.4,602.2,573,543.9,Vivacare,628.3,617.3,590.1,562.8,535.6,508.3
616,604.4,575.2,546,516.9,487.7,Vivao Sympany,572.9,562.1,535,507.8,480.8,453.6
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,September 2023,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,1/28,,Septembre 2023,,review-2023-09-24,,
,,,,,Prämien – Grundversicherung,,,,,,,
,,,,,Primes – Assurance de base,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Erwachsene / Adultes,,,,Franchise / Franchise,,
300,500,1000,1500,2000,2500,Region / Région 2,300,500,1000,1500,2000,2500
530.4,518.7,489.6,460.4,431.2,402.1,Agrisano,503.9,492.8,465.1,437.4,409.6,382
575.5,563.9,534.7,505.6,476.4,447.2,Aquilana,535.3,524.5,497.3,470.3,443.1,415.9
564,552.4,523.2,494,464.9,435.7,Assura,524.6,513.8,486.6,459.5,432.4,405.3
561.5,549.9,520.7,491.5,462.4,433.2,Atupri,533.4,522.4,494.7,466.9,439.3,411.5
595.9,584.4,555.4,525.9,496.9,467.9,Avenir,554.2,543.5,516.6,489.1,462.2,435.2
588.5,576.9,547.7,518.5,489.4,460.2,Concordia,556.2,545.2,517.6,490,462.5,434.9
597,585.4,556.2,527,497.9,468.7,CSS,555.2,544.4,517.3,490.1,463,435.9
603.3,591.8,562.8,533.3,504.3,475.3,Easy Sana,561.1,550.4,523.5,496,469,442.1
579.1,567.4,538.2,509.1,479.9,450.7,EGK,544.4,533.4,506,478.6,451.2,423.7
792.8,781.1,752,722.8,693.6,664.5,Galenos,737.3,726.5,699.4,672.2,645.1,618
602,590.4,561.2,532,502.9,473.7,Helsana,559.9,549.1,522,494.8,467.7,440.6
618.2,608.9,585.6,562.2,538.9,515.6,KLuG,599.7,590.6,568,545.4,522.7,500.1
578.6,567,537.8,508.6,,450.3,KPT,538.1,527.3,500.2,473,,418.8
606.7,595.2,566.2,536.7,507.7,478.7,Mutuel,564.3,553.6,526.6,499.2,472.2,445.2
596,584.4,555.2,526,496.9,467.7,ÖKK,554.3,543.5,516.4,489.2,462.2,435
595.6,584.1,555.1,525.6,496.6,467.6,Philos,554,543.3,516.3,488.9,461.9,434.9
646.5,634.8,605.7,576.5,547.3,518.2,Rhenusana,601.3,590.4,563.4,536.2,509,482
589.4,577.7,548.6,519.4,490.2,461.1,Sana24,550.9,540,512.7,485.4,458.2,430.9
639.2,627.6,598.4,569.2,540.1,510.9,Sanitas,595.1,584.3,557.2,530,502.9,475.7
622.6,611.1,582.1,552.6,523.6,494.6,Supra,579.1,568.4,541.4,514,487,460
665.3,653.7,624.5,595.3,566.2,537,Swica,618.8,607.9,580.8,553.7,526.6,499.4
